Query_1	Subject_1	100.000	45	0	0	75619	75663	83097	83053	3.27e-16	84.2
Query_1	Subject_1	100.000	43	0	0	33199	33241	6141	6183	4.22e-15	80.5
Query_1	Subject_1	100.000	42	0	0	68659	68700	2884	2843	1.52e-14	78.7
Query_1	Subject_1	100.000	42	0	0	83054	83095	66827	66868	1.52e-14	78.7
Query_1	Subject_1	100.000	42	0	0	44200	44241	81562	81521	1.52e-14	78.7
Query_1	Subject_1	100.000	41	0	0	53828	53868	46316	46356	5.46e-14	76.8
Query_1	Subject_1	100.000	30	0	0	33052	33081	1891	1920	7.12e-08	56.5
Query_1	Subject_1	100.000	30	0	0	83318	83347	83347	83318	7.12e-08	56.5
Query_1	Subject_1	100.000	29	0	0	1650	1678	53636	53608	2.56e-07	54.7
Query_1	Subject_1	100.000	27	0	0	53707	53733	558	532	3.31e-06	51.0
Query_1	Subject_1	100.000	26	0	0	81514	81539	2545	2570	1.19e-05	49.1
Query_1	Subject_1	100.000	25	0	0	62469	62493	6134	6158	4.28e-05	47.3
Query_1	Subject_1	100.000	24	0	0	50758	50781	31201	31224	1.54e-04	45.4
Query_1	Subject_1	100.000	24	0	0	41107	41130	41130	41107	1.54e-04	45.4
Query_1	Subject_1	100.000	24	0	0	85641	85664	68635	68612	1.54e-04	45.4
Query_1	Subject_1	100.000	24	0	0	84193	84216	68612	68635	1.54e-04	45.4
Query_1	Subject_1	100.000	23	0	0	12330	12352	1816	1838	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	50790	50812	24890	24868	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	32466	32488	30577	30555	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	56543	56565	30555	30577	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	85615	85637	31224	31202	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	84220	84242	31202	31224	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	30555	30577	45213	45191	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	22849	22871	63434	63456	5.54e-04	43.6
Query_1	Subject_1	100.000	23	0	0	30555	30577	82586	82564	5.54e-04	43.6
Query_1	Subject_1	100.000	22	0	0	55496	55517	2606	2585	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	33223	33244	31200	31221	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	53736	53757	34229	34250	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	5151	5172	34250	34229	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	53736	53757	40422	40443	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	53736	53757	50739	50718	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	84249	84270	50800	50779	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	56543	56564	52263	52242	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	62506	62527	52704	52683	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	68604	68625	53757	53736	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	68645	68666	55517	55496	0.002	41.7
Query_1	Subject_1	100.000	22	0	0	42340	42361	71155	71134	0.002	41.7
Query_1	Subject_1	100.000	21	0	0	5175	5195	533	553	0.007	39.9
Query_1	Subject_1	100.000	21	0	0	63659	63679	6163	6183	0.007	39.9
Query_1	Subject_1	100.000	21	0	0	4173	4193	44160	44140	0.007	39.9
Query_1	Subject_1	100.000	21	0	0	81434	81454	46014	46034	0.007	39.9
Query_1	Subject_1	100.000	21	0	0	53736	53756	47987	48007	0.007	39.9
Query_1	Subject_1	100.000	21	0	0	5187	5207	48482	48462	0.007	39.9
Query_1	Subject_1	100.000	21	0	0	55527	55547	53736	53756	0.007	39.9
Query_1	Subject_1	100.000	20	0	0	31200	31219	530	549	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	33223	33242	530	549	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	70509	70528	909	928	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	31212	31231	5151	5170	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	57305	57324	6165	6184	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	53738	53757	31231	31212	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	9444	9463	45892	45873	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	70509	70528	50488	50507	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	58445	58464	51977	51996	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	62506	62525	52685	52704	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	33064	33083	66737	66756	0.026	38.1
Query_1	Subject_1	100.000	20	0	0	62506	62525	71115	71096	0.026	38.1
Query_1	Subject_1	100.000	19	0	0	6165	6183	530	548	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	25492	25510	1319	1337	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	55522	55540	2570	2552	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	47982	48000	2570	2552	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	44223	44241	2570	2552	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	58446	58464	2735	2717	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	55494	55512	5193	5175	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	19987	20005	5436	5418	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	35153	35171	6154	6136	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	31200	31218	6165	6183	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	58446	58464	9550	9532	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	83081	83099	27321	27339	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	9445	9463	30434	30452	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	33767	33785	31218	31200	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	57305	57323	31200	31218	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	11029	11047	37381	37363	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	35062	35080	41480	41462	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	80634	80652	53130	53148	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	14683	14701	55963	55945	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	45074	45092	66698	66680	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	81521	81539	68612	68630	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	58446	58464	80311	80293	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	58446	58464	82977	82959	0.093	36.2
Query_1	Subject_1	100.000	19	0	0	15199	15217	85522	85504	0.093	36.2
Query_1	Subject_1	100.000	18	0	0	85620	85637	549	532	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	84220	84237	532	549	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	53716	53733	2606	2589	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	67382	67399	2732	2715	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	29550	29567	2861	2844	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	56555	56572	4055	4038	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	15203	15220	6037	6054	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	1235	1252	7847	7864	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	58446	58463	8352	8335	0.33	34.4
Query_1	Subject_1	100.000	18	0	0	58445	58462	8358	8341	0.33	34.4
